period_date,store_id,region,store_tier,anomaly_profile,beginning_inv_cost,beginning_inv_retail,purchases_cost,purchases_retail,net_sales,promo_markdowns,shrinkage,ending_inv_retail,cost_to_retail_ratio,ending_inv_cost,cogs,gross_margin,gross_margin_pct,markdown_pct_sales,shrink_pct_sales,imu_pct,gmroi_monthly
2024-11-01,STORE_101,NorthEast,Flagship Tier 1,High-Turn Flagship,767029.41,1965628.89,510000.46,1293077.99,1058086.67,93330.24,15537.34,2091752.63,0.391882,819721.04,457308.83,600777.84,0.5678,0.0882,0.0147,0.6056,0.7572
2024-12-01,STORE_101,NorthEast,Flagship Tier 1,High-Turn Flagship,819721.04,2091752.63,227048.93,600886.15,1001476.92,78960.29,13411.19,1598790.38,0.388752,621533.71,425236.26,576240.66,0.5754,0.0788,0.0134,0.6221,0.7996
2025-01-01,STORE_101,NorthEast,Flagship Tier 1,High-Turn Flagship,621533.71,1598790.38,128908.09,352338.95,587231.58,53393.76,7411.04,1303092.95,0.384619,501194.57,249247.23,337984.35,0.5756,0.0909,0.0126,0.6341,0.6021
2025-02-01,STORE_101,NorthEast,Flagship Tier 1,High-Turn Flagship,501194.57,1303092.95,360591.03,978154.96,550064.58,54149.19,6469.62,1670564.52,0.377769,631088.12,230697.48,319367.1,0.5806,0.0984,0.0118,0.6314,0.5641
2025-03-01,STORE_101,NorthEast,Flagship Tier 1,High-Turn Flagship,631088.12,1670564.52,298962.9,805600.57,839285.52,77684.95,9233.68,1549960.94,0.375601,582167.46,347883.56,491401.96,0.5855,0.0926,0.011,0.6289,0.8101
2025-04-01,STORE_101,NorthEast,Flagship Tier 1,High-Turn Flagship,582167.46,1549960.94,297047.32,772034.46,828266.68,66295.95,9039.6,1418393.17,0.378646,537069.21,342145.57,486121.11,0.5869,0.08,0.0109,0.6152,0.8687
2025-05-01,STORE_101,NorthEast,Flagship Tier 1,High-Turn Flagship,537069.21,1418393.17,279288.75,768000.95,702683.18,52330.58,7396.37,1423983.99,0.373381,531688.53,284669.43,418013.75,0.5949,0.0745,0.0105,0.6363,0.7822
2025-06-01,STORE_101,NorthEast,Flagship Tier 1,High-Turn Flagship,531688.53,1423983.99,335323.2,861768.94,719228.91,71036.12,10552.89,1484935.01,0.379311,563252.51,303759.22,415469.69,0.5777,0.0988,0.0147,0.6109,0.7589
2025-07-01,STORE_101,NorthEast,Flagship Tier 1,High-Turn Flagship,563252.51,1484935.01,312380.13,795003.82,726992.11,75369.66,8152.62,1469424.44,0.38406,564346.72,311285.92,415706.19,0.5718,0.1037,0.0112,0.6071,0.7373
2025-08-01,STORE_101,NorthEast,Flagship Tier 1,High-Turn Flagship,564346.72,1469424.44,301836.47,807036.15,768326.54,68210.89,9675.2,1430247.96,0.380496,544203.03,321980.16,446346.38,0.5809,0.0888,0.0126,0.626,0.8053
2025-09-01,STORE_101,NorthEast,Flagship Tier 1,High-Turn Flagship,544203.03,1430247.96,258393.28,652732.66,695403.54,42881.76,9015.17,1335680.15,0.385311,514652.87,287943.44,407460.1,0.5859,0.0617,0.013,0.6041,0.7696
2025-10-01,STORE_101,NorthEast,Flagship Tier 1,High-Turn Flagship,514652.87,1335680.15,569312.99,1426535.54,707496.16,68630.53,9541.55,1976547.45,0.392426,775649.04,308316.82,399179.34,0.5642,0.097,0.0135,0.6009,0.6187
2025-11-01,STORE_101,NorthEast,Flagship Tier 1,High-Turn Flagship,775649.04,1976547.45,446967.67,1233058.67,1024686.88,93563.55,10755.5,2080600.19,0.380924,792551.01,430065.7,594621.18,0.5803,0.0913,0.0105,0.6375,0.7583
2025-12-01,STORE_101,NorthEast,Flagship Tier 1,High-Turn Flagship,792551.01,2080600.19,240504.15,602562.65,1004271.08,70980.9,12040.62,1595870.24,0.385014,614432.33,418622.83,585648.25,0.5832,0.0707,0.012,0.6009,0.8325
2026-01-01,STORE_101,NorthEast,Flagship Tier 1,High-Turn Flagship,614432.33,1595870.24,136328.38,350683.34,584472.24,55061.65,7787.63,1299232.06,0.385687,501097.12,249663.59,334808.65,0.5728,0.0942,0.0133,0.6112,0.6003
2026-02-01,STORE_101,NorthEast,Flagship Tier 1,High-Turn Flagship,501097.12,1299232.06,404732.37,1015630.67,606234.42,68540.51,6454.24,1633633.56,0.39131,639257.54,266571.95,339662.47,0.5603,0.1131,0.0106,0.6015,0.5957
2026-03-01,STORE_101,NorthEast,Flagship Tier 1,High-Turn Flagship,639257.54,1633633.56,414810.2,1068098.39,894109.63,83323.5,13277.09,1711021.73,0.390145,667546.91,386520.83,507588.8,0.5677,0.0932,0.0148,0.6116,0.7768
2026-04-01,STORE_101,NorthEast,Flagship Tier 1,High-Turn Flagship,667546.91,1711021.73,203457.04,564680.06,840448.92,81894.81,9234.56,1344123.5,0.382741,514450.92,356553.03,483895.89,0.5758,0.0974,0.011,0.6397,0.8188
2026-05-01,STORE_101,NorthEast,Flagship Tier 1,High-Turn Flagship,514450.92,1344123.5,329669.62,893124.35,771375.17,73767.92,11848.85,1380255.91,0.377303,520774.83,323345.71,448029.46,0.5808,0.0956,0.0154,0.6309,0.8656
2026-06-01,STORE_101,NorthEast,Flagship Tier 1,High-Turn Flagship,520774.83,1380255.91,368430.9,943820.54,747819.63,47694.94,10828.98,1517732.9,0.382606,580693.8,308511.93,439307.7,0.5875,0.0638,0.0145,0.6096,0.7977
2026-07-01,STORE_101,NorthEast,Flagship Tier 1,High-Turn Flagship,580693.8,1517732.9,342481.19,873358.76,771443.86,72977.45,8544.21,1538126.14,0.386089,593854.1,329320.89,442122.97,0.5731,0.0946,0.0111,0.6079,0.7528
2026-08-01,STORE_101,NorthEast,Flagship Tier 1,High-Turn Flagship,593854.1,1538126.14,234970.34,601233.53,756951.41,74842.1,9843.73,1297722.43,0.387417,502759.81,326064.63,430886.78,0.5692,0.0989,0.013,0.6092,0.7858
